,Symbol,Name1,Sector
404,SBAC,SBA Communications,Real Estate
405,SCG,SCANA,Utilities
405,SCG,Scana,Utilities
406,SLB,Schlumberger,Energy
407,STX,Seagate,Information Technology
408,SEE,Sealed Air,Materials
409,SRE,Sempra ,Utilities
410,SHW,Sherwin-Williams,Materials
411,SPG,Simon Property,Real Estate
412,SWKS,Skyworks Solutions,Information Technology
413,SLG,SL Green,Real Estate
414,SNA,Snap-On,Consumer Discretionary
416,LUV,Southwest Airlines,Industrials
418,SBUX,Starbucks,Consumer Discretionary
419,STT,State Street,Financials
420,SRCL,Stericycle,Industrials
421,SYK,Stryker,Health Care
422,STI,SunTrust,Financials
423,SIVB,SVB Financial,Financials
424,SYMC,Symantec,Information Technology
425,SYF,Synchrony Financial,Financials
426,SNPS,Synopsys,Information Technology
427,SYY,Sysco,Consumer Staples
428,TROW,Rowe ,Financials
430,TPR,Tapestry,Consumer Discretionary
431,TGT,Target ,Consumer Discretionary
432,TEL,TE Connectivity,Information Technology
433,FTI,TechnipFMC,Energy
434,TXN,Texas Instruments,Information Technology
435,TXT,Textron,Industrials
436,BK,The Bank of New York Mellon,Financials
437,CLX,The Clorox,Consumer Staples
438,COO,The Cooper ,Health Care
439,HSY,The Hershey,Consumer Staples
440,MOS,Mosaic,Materials
441,TRV,Travelers Companies,Financials
442,DIS,Disney,Consumer Discretionary
443,TMO,Thermo Fisher Scientific,Health Care
445,TWX,Time Warner,Consumer Discretionary
446,TJX,TJX,Consumer Discretionary
447,TMK,Torchmark,Financials
448,TSS,Total System,Information Technology
449,TSCO,Tractor Supply,Consumer Discretionary
450,TDG,TransDigm,Industrials
451,TRIP,TripAdvisor,Consumer Discretionary
453,FOX,Fox ,Consumer Discretionary
454,TSN,Tyson Foods,Consumer Staples
456,UDR,UDR,Real Estate
457,ULTA,Ulta Beauty,Consumer Discretionary
458,UAA,Under Armour,Consumer Discretionary
460,UNP,Union Pacific,Industrials
461,UAL,United Continental Holdings,Industrials
462,UNH,United Health,Health Care
463,UPS,United Parcel Service,Industrials
464,URI,United Rentals,Industrials
465,UTX,United Technologies,Industrials
466,UHS,Universal Health Services,Health Care
467,UNM,Unum ,Financials
469,VLO,Valero,Energy
470,VAR,Varian,Health Care
471,VTR,Ventas,Real Estate
472,VRSN,Verisign,Information Technology
473,VRSK,Verisk,Industrials
474,VZ,Verizon,Telecommunication Services
475,VRTX,Vertex,Health Care
476,VIAB,Viacom,Consumer Discretionary
477,V,Visa,Information Technology
478,VNO,Vornado,Real Estate
479,VMC,Vulcan Materials,Materials
480,WMT,Walmart,Consumer Staples
481,WBA,Walgreens,Consumer Staples
482,WM,Waste Management,Industrials
483,WAT,Waters,Health Care
484,WEC,Wec Energy,Utilities
485,WFC,Wells Fargo,Financials
486,WELL,Welltower,Real Estate
487,WDC,Western Digital,Information Technology
488,WU,Western Union,Information Technology
489,WRK,WestRock,Materials
490,WY,Weyerhaeuser,Real Estate
491,WHR,Whirlpool,Consumer Discretionary
492,WMB,Williams Co,Energy
493,WLTW,Willis Towers Watson,Financials
494,WYN,Wyndham Worldwide,Consumer Discretionary
495,WYNN,Wynn Resorts,Consumer Discretionary
496,XEL,Xcel,Utilities
497,XRX,Xerox,Information Technology
498,XLNX,Xilinx,Information Technology
499,XL,XL Capital,Financials
500,XYL,Xylem,Industrials
501,YUM,Yum,Consumer Discretionary
502,ZBH,Zimmer ,Health Care
503,ZION,Zions,Financials
504,ZTS,Zoetis,Health Care
505,ASML,ASML,
506,BIDU,Baidu,
507,BMRN,Biomarin,
508,CHKP,Check Point,
509,CTRP,Ctrip,
510,JD,JD.com,
511,LBTYA,Liberty Global,
514,MXIM,Maxim Integrated,
515,NTES,NetEase,
517,SHPG,Shire,
518,SIRI,Sirius, 
519,TMUS,T-Mobile,
520,TSLA,Tesla,
521,VOD,Vodafone,
522,WDAY,Workday,
